AIRLINE,ORIGIN FLIGHT NO. ,ORIGIN AIRPORT,A/C TYPE,STA (WIB),DEPT FLIGHT NO. ,DEPT AIRPORT,A/C TYPE.1,STD (WIB),PLANNING PARKING,PLANNING GATE,date_flight
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE4,A6,2025-04-17
LNI,,EXRON,,00:00:00,LNI249,PLM,B739,07:00:00,AE6,A9,2025-04-17
LNI,,EXRON,,00:00:00,LNI976,BPN,B739,09:15:00,AE8,A6,2025-04-17
MXD,MXD3560,KUL,B738,09:30:00,,,RON,,AE1,A1,2025-04-17
MXD,MXD356,KUL,B739,20:30:00,,,RON,,AE1,A1,2025-04-17
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-17
WON,,EXRON,,00:00:00,WON2228,MWK,ATR72,08:00:00,AD7,A9,2025-04-17
LNI,,EXRON,,,LNI975,KNO,B739,14:10:00,AE6,A9,2025-04-17
WON,WON2229,MWK,ATR72,17:50:00,,,RON,,AD7,A9,2025-04-17
LNI,LNI248,PLM,B739,19:05:00,,,RON,,AE8,-,2025-04-17
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-17
LNI,,EXRON,,00:00:00,LNI249,PLM,B739,06:10:00,AE6,A9,2025-04-18
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE4,A6,2025-04-18
LNI,,EXRON,,00:00:00,LNI970,SUB,B739,07:40:00,AE8,A8,2025-04-18
WON,,EXRON,,00:00:00,WON1270,NTX,AT72,08:00:00,AD8,A9,2025-04-18
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-18
WON,WON1229,LMU,ATR72,15:40:00,,,RON,,AD7,A9,2025-04-18
LNI,LNI977,KNO,B739,17:10:00,,,RON,,AE8,-,2025-04-18
LNI,LNI248,PLM,B739,19:05:00,,,RON,,AE6,-,2025-04-18
MXD,MXD356,KUL,B739,20:30:00,,,RON,,AE1,A1,2025-04-18
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-18
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE3,A6,2025-04-22
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-22
LNI,,EXRON,,00:00:00,LNI970,SUB,B738,07:00:00,AE6,A7,2025-04-22
LNI,,EXRON,,00:00:00,LNI249,PLM,B738,07:00:00,AE5,A7,2025-04-22
WON,,EXRON,,00:00:00,WON2229,MWK,ATR72,08:05:00,AD8,A9,2025-04-22
LNI,LNI228,PDG,B739,17:25:00,,,RON,,AE9,-,2025-04-22
SJV,SJV974,DJB,A320,17:30:00,,,RON,,AE8,-,2025-04-22
WON,WON2229,MWK,ATR72,17:50:00,,,RON,,AD7,A9,2025-04-22
LNI,LNI248,PLM,B739,19:05:00,,,RON,,AE7,-,2025-04-22
MXD,MXD356,KUL,B739,20:30:00,,,RON,,AE1,A1,2025-04-22
BTK,BTK6862,CGK,A320,20:40:00,,,RON,,AE4,-,2025-04-22
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE4,A6,2025-04-06
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-06
WON,,EXRON,,00:00:00,WON1228,LMU,AT72,12:40:00,AD7,A9,2025-04-06
SJV,SJV974,DJB,A320,15:40:00,,,RON,,AE6,-,2025-04-06
WON,WON1229,LMU,AT72,15:40:00,,,RON,,AD7,-,2025-04-06
MXD,MXD356,KUL,B738,20:30:00,,,RON,,AE1,-,2025-04-06
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-06
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE4,A6,2025-04-09
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-09
WON,,EXRON,,00:00:00,WON1228,LMU,AT72,12:40:00,AD8,A9,2025-04-09
WON,WON1229,LMU,AT72,15:40:00,,,RON,,AD8,-,2025-04-09
MXD,MXD356,KUL,B738,20:30:00,,,RON,,AE1,-,2025-04-09
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-09
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE4,A6,2025-04-10
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-10
WON,,EXRON,,00:00:00,WON1228,LMU,AT72,12:40:00,AD8,A9,2025-04-10
LNI,LNI248,PLM,B738,20:10:00,,,RON,,AE8,-,2025-04-10
MXD,MXD356,KUL,B738,20:30:00,,,RON,,AE1,-,2025-04-10
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-10
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE3,A6,2025-04-23
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-23
LNI,,EXRON,,00:00:00,LNI970,SUB,B738,07:00:00,AE6,A7,2025-04-23
WON,,EXRON,,00:00:00,WON1270,NTX,ATR72,08:05:00,AD8,A9,2025-04-23
LNI,LNI374,CGK,B739,11:45:00,,,,,,,2025-04-23
LNI,LNI228,PDG,B739,17:25:00,,,RON,,AE9,-,2025-04-23
WON,WON1271,NTX,ATR72,17:50:00,,,RON,,AD7,A9,2025-04-23
LNI,LNI248,PLM,B739,19:05:00,,,RON,,AE7,-,2025-04-23
MXD,MXD356,KUL,B739,20:30:00,,,RON,,AE1,A1,2025-04-23
BTK,BTK6862,CGK,A320,20:40:00,,,RON,,AE4,-,2025-04-23
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE4,A6,2025-04-11
LNI,,EXRON,,00:00:00,LNI249,PLM,B739,07:00:00,AE6,A9,2025-04-11
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-11
WON,WON1228,LMU,AT72,15:40:00,,,RON,,AD8,,2025-04-11
LNI,LNI248,PLM,B738,20:10:00,,,RON,,AE8,-,2025-04-11
MXD,MXD356,KUL,B738,20:30:00,,,RON,,AE1,-,2025-04-11
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-11
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE4,A6,2025-04-16
LNI,,EXRON,,00:00:00,LNI249,PLM,B739,07:00:00,AE6,A9,2025-04-16
LNI,,EXRON,,00:00:00,LNI970,SUB,B739,07:40:00,AE8,A6,2025-04-16
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-16
WON,,EXRON,,00:00:00,WON1228,LMU,ATR72,12:40:00,AD7,A9,2025-04-16
SJV,,EXRON,,,SJV855,CGK,A320,14:50:00,AE5,A6,2025-04-16
SJV,,EXRON,,,SJV859,CGK,A320,18:25:00,AE4,A6,2025-04-16
LNI,LNI977,KNO,B739,17:10:00,,,RON,,,,2025-04-16
WON,WON1229,LMU,ATR72,15:40:00,,,RON,,AD7,A9,2025-04-16
WON,WON1272,NTX,ATR72,12:05:00,,,RON,,,,2025-04-16
LNI,LNI248,PLM,B739,19:05:00,,,RON,,AE8,-,2025-04-16
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-16
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE3,A6,2025-04-19
LNI,,EXRON,,00:00:00,LNI249,PLM,B739,07:00:00,AE6,A9,2025-04-19
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-19
LNI,LNI977,KNO,B739,17:10:00,,,RON,,AE8,-,2025-04-19
LNI,LNI248,PLM,B739,19:05:00,,,RON,,AE7,-,2025-04-19
MXD,MXD356,KUL,B739,20:30:00,,,RON,,AE1,A1,2025-04-19
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE3,A6,2025-04-24
LNI,,EXRON,,00:00:00,LNI249,PLM,B738,07:00:00,AE4,A7,2025-04-24
LNI,,EXRON,,00:00:00,LNI970,SUB,B738,07:40:00,AE5,A7,2025-04-24
LNI,,EXRON,,00:00:00,LNI373,CGK,B739,08:00:00,AE8,A8,2025-04-24
SJV,,EXRON,,00:00:00,SJV857,CGK,A320,09:50:00,AE9,A8,2025-04-24
SJV,SJV974,DJB,A320,17:05:00,,,RON,,AE8,-,2025-04-24
LNI,LNI977,KNO,B739,17:10:00,,,RON,,AE9,-,2025-04-24
LNI,LNI248,PLM,B739,19:05:00,,,RON,,AE6,-,2025-04-24
BTK,BTK6862,CGK,A320,20:40:00,,,RON,,AE4,-,2025-04-24
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE5,A6,2025-04-05
MXD,MXD356,KUL,B738,20:30:00,,,RON,,AE1,-,2025-04-05
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-05
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE3,A6,2025-04-21
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-21
WON,WON1271,NTX,ATR72,12:05:00,,,RON,,AD7,A9,2025-04-21
WON,,EXRON,,,WON1270,NTX,ATR72,08:05:00,AD8,A9,2025-04-21
LNI,LNI248,PLM,B739,19:05:00,,,RON,,AE7,-,2025-04-21
MXD,MXD356,KUL,B739,20:30:00,,,RON,,AE1,A1,2025-04-21
BTK,BTK6862,CGK,A320,20:40:00,,,RON,,AE4,-,2025-04-21
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE4,A6,2025-04-13
LNI,,EXRON,,00:00:00,LNI249,PLM,B739,07:00:00,AE6,A9,2025-04-13
WON,,EXRON,,00:00:00,WON1270,NTX,AT72,08:05:00,AD8,A9,2025-04-13
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-13
WON,WON1229,LMU,AT72,15:40:00,,,RON,,AD8,-,2025-04-13
LNI,LNI977,KNO,B739,17:10:00,,,RON,,AE8,-,2025-04-13
MXD,MXD356,KUL,B738,20:30:00,,,RON,,AE1,-,2025-04-13
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-13
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE4,A6,2025-04-14
LNI,,EXRON,,00:00:00,LNI249,PLM,B739,07:00:00,AE6,A9,2025-04-14
LNI,,EXRON,,00:00:00,LNI970,SUB,B739,07:40:00,AE8,A6,2025-04-14
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-14
LNI,LNI248,PLM,B739,19:05:00,,,RON,,AE8,-,2025-04-14
MXD,MXD356,KUL,B738,20:30:00,,,RON,,AE1,-,2025-04-14
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-14
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE4,A6,2025-04-15
LNI,,EXRON,,00:00:00,LNI249,PLM,B739,07:00:00,AE6,A9,2025-04-15
LNI,,EXRON,,00:00:00,LNI970,SUB,B739,07:40:00,AE8,A6,2025-04-15
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-15
WON,,EXRON,,00:00:00,WON2228,MWK,ATR72,08:00:00,AD7,A9,2025-04-15
WON,WON2229,MWK,ATR72,17:50:00,,,,,,,2025-04-15
LNI,LNI248,PLM,B739,19:05:00,,,RON,,AE8,-,2025-04-15
MXD,MXD356,KUL,B738,20:30:00,,,RON,,AE1,-,2025-04-15
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-15
LNI,,EXRON,,00:00:00,LNI3229,PDG,B739,06:50:00,AE6,A9,2025-04-04
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE3,A6,2025-04-04
WON,,EXRON,,00:00:00,WON1270,NTX,AT72,08:05:00,AD8,A9,2025-04-04
SJV,,EXRON,,00:00:00,SJV857,CGK,A320,08:15:00,AE5,A6,2025-04-04
WON,WON1229,LMU,ATR72,15:45:00,,,RON,,AD8,-,2025-04-04
LNI,LNI370,CGK,B737,18:45:00,,CGK,B737,18:15:00,AE6,A6,2025-04-04
MXD,MXD356,KUL,B738,20:30:00,,,RON,,AE1,-,2025-04-04
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-04
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE3,A6,2025-04-20
LNI,,EXRON,,00:00:00,LNI249,PLM,B739,07:00:00,AE6,A9,2025-04-20
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-20
LNI,,EXRON,,00:00:00,LNI970,SUB,B739,07:40:00,AE8,A7,2025-04-20
WON,WON1229,LMU,ATR72,15:40:00,,,RON,,AD8,-,2025-04-20
LNI,LNI248,PLM,B739,19:05:00,,,RON,,AE7,-,2025-04-20
MXD,MXD356,KUL,B739,20:30:00,,,RON,,AE1,A1,2025-04-20
BTK,BTK6862,CGK,A320,20:40:00,,,RON,,AE4,-,2025-04-20
BTK,,EXRON,,00:00:00,BTK6863,CGK,A320,07:00:00,AE4,A6,2025-04-12
LNI,,EXRON,,00:00:00,LNI249,PLM,B739,07:00:00,AE6,A9,2025-04-12
MXD,,EXRON,,00:00:00,MXD357,KUL,B738,11:00:00,AE1,A1,2025-04-12
LNI,LNI248,PLM,B738,19:05:00,,,RON,,AE8,-,2025-04-12
MXD,MXD356,KUL,B738,20:30:00,,,RON,,AE1,-,2025-04-12
BTK,BTK6862,CGK,A320,21:00:00,,,RON,,AE4,-,2025-04-12
